32K123,K123,P.S. 123 Suydam,DOE,General Academic,Elementary,0K 01 02 03 04 05 SE,0K 01 02 03 04 05,Jul 1 1901,Open,K123,100 IRVING AVENUE,BROOKLYN,NY,11237,32,32,K832,COMMUNITY SCHOOL DISTRICT 32
31R455,R455,Tottenville High School,DOE,General Academic,High school,09 10 11 12 SE,09 10 11 12,Jul 1 1972,Open,R455,100 LUTEN AVENUE,STATEN ISLAND,NY,10312,31,31,R831,COMMUNITY SCHOOL DISTRICT 31
32K145,K145,P.S. 145 Andrew Jackson,DOE,General Academic,Elementary,0K 01 02 03 04 05 SE,PK 0K 01 02 03 04 05,Jul 1 1905,Open,K145,100 NOLL STREET,BROOKLYN,NY,11206,32,32,K832,COMMUNITY SCHOOL DISTRICT 32
31R078,R078,PS 78,DOE,General Academic,Elementary,PK 0K 01 02 03 SE,PK 0K 01 02 03 04 05,Jul 1 2012,Open,R014,100 TOMPKINS AVENUE,STATEN ISLAND,NY,10304,31,31,R831,COMMUNITY SCHOOL DISTRICT 31
31R014,R014,P.S. 014 Cornelius Vanderbilt,DOE,General Academic,Elementary,03 04 05 SE,0K 01 02 03 04 05,Jul 1 1950,Open,R014,100 TOMPKINS AVENUE,STATEN ISLAND,NY,10304,31,31,R831,COMMUNITY SCHOOL DISTRICT 31
02M489,M489,High School of Economics and Finance,DOE,General Academic,High school,09 10 11 12 SE,09 10 11 12,Jun 5 1996,Open,M833,100 TRINITY PLACE,MANHATTAN,NY,10006,2,2,M802,COMMUNITY SCHOOL DISTRICT 02
03M245,M245,M.S. M245 The Computer School,DOE,General Academic,Junior High-Intermediate-Middle,06 07 08 SE,6/7/2008,Jul 1 1999,Open,M044,100 WEST 77 STREET,MANHATTAN,NY,10024,3,3,M803,COMMUNITY SCHOOL DISTRICT 03
03M452,M452,P.S. 452,DOE,General Academic,Elementary,0K 01 02 03 SE,0K 01 02 03 04 05,Jul 1 2010,Open,M044,100 WEST 77 STREET,MANHATTAN,NY,10024,3,3,M803,COMMUNITY SCHOOL DISTRICT 03
03M334,M334,The Anderson School,DOE,General Academic,K-8,0K 01 02 03 04 05 06 07 08,0K 01 02 03 04 05 06 07 08,Jul 1 2005,Open,M044,100 WEST 77 STREET,MANHATTAN,NY,10024,3,3,M803,COMMUNITY SCHOOL DISTRICT 03
03M243,M243,M.S. 243 Center School,DOE,General Academic,Junior High-Intermediate-Middle,05 06 07 08 SE,05 06 07 08,Jul 1 1999,Open,M009,100 WEST 84 STREET,MANHATTAN,NY,10024,3,3,M803,COMMUNITY SCHOOL DISTRICT 03
10X351,X351,Bronx Collaborative High School,DOE,General Academic,High school,09 SE,09 10 11 12,Jul 1 2013,Open,X440,100 WEST MOSHOLU PARKWAY SOUTH,BRONX,NY,10468,10,10,X810,COMMUNITY SCHOOL DISTRICT 10
